COD_PRODUCTO,COD_CATEGORIA,COD_CLIENTE,COD_PAIS,COD_VENDEDOR,COD_SUCURSAL,Fecha,Cantidad_Vendida,Monto_Vendido,Precio,Comision_Comercial
P00017,C00003,CLI00383,COL,V00018,SUC00038,2016-02-12,13,140000.00,10769.23,16800.00
P00017,C00003,CLI00383,COL,V00018,SUC00038,2019-12-13,13,140000.00,10769.23,16800.00
P00017,C00003,CLI00383,COL,V00018,SUC00038,2020-02-12,13,140000.00,10769.23,16800.00
P00017,C00003,CLI00342,MEX,V00014,SUC00048,2018-05-15,23,240000.00,10434.78,43200.00
P00017,C00003,CLI00342,MEX,V00014,SUC00048,2021-05-15,23,240000.00,10434.78,43200.00
P00017,C00003,CLI00523,PAR,V00002,SUC00047,2018-01-26,19,200000.00,10526.32,28000.00
P00017,C00003,CLI00523,PAR,V00002,SUC00047,2021-01-26,19,200000.00,10526.32,28000.00
P00017,C00003,CLI00523,PER,V00040,SUC00061,2016-06-15,35,360000.00,10285.71,28800.00
P00017,C00003,CLI00724,HON,V00057,SUC00015,2017-08-15,11,120000.00,10909.09,22800.00
P00017,C00003,CLI00148,ECU,V00036,SUC00029,2016-10-20,44,450000.00,10227.27,27000.00
P00017,C00003,CLI00148,ECU,V00036,SUC00029,2020-10-20,44,450000.00,10227.27,27000.00
P00017,C00003,CLI00148,GUA,V00011,SUC00028,2019-02-08,29,300000.00,10344.83,51000.00
P00017,C00003,CLI00501,URU,V00049,SUC00063,2018-06-10,39,400000.00,10256.41,40000.00
P00017,C00003,CLI00501,URU,V00049,SUC00063,2021-06-10,39,400000.00,10256.41,40000.00
P00017,C00003,CLI00227,ECU,V00007,SUC00002,2019-03-12,34,1520000.00,44705.88,288800.00
P00017,C00003,CLI00227,PAR,V00043,SUC00009,2019-03-12,19,200000.00,10526.32,24000.00
P00017,C00003,CLI00524,CRI,V00001,SUC00031,2016-09-30,28,2590000.00,92500.00,362600.00
P00017,C00003,CLI00524,CRI,V00001,SUC00031,2020-09-30,28,2590000.00,92500.00,362600.00
P00017,C00003,CLI00524,ESP,V00045,SUC00008,2016-04-19,36,2160000.00,60000.00,432000.00
P00017,C00003,CLI00524,ESP,V00045,SUC00008,2020-04-19,36,2160000.00,60000.00,432000.00
P00017,C00003,CLI00445,CRI,V00003,SUC00026,2018-12-18,40,430000.00,10750.00,68800.00
P00017,C00003,CLI00563,DOM,V00059,SUC00011,2017-11-08,14,150000.00,10714.29,16500.00
P00017,C00003,CLI00471,COL,V00031,SUC00054,2016-06-22,11,120000.00,10909.09,18000.00
P00017,C00003,CLI00485,GUA,V00016,SUC00007,2018-12-30,29,370000.00,12758.62,29600.00
P00017,C00003,CLI00328,PER,V00013,SUC00036,2019-08-30,46,490000.00,10652.17,49000.00
P00017,C00003,CLI00726,ESP,V00045,SUC00008,2019-08-29,3,40000.00,13333.33,0.44
P00017,C00003,CLI00726,PER,V00009,SUC00055,2019-05-07,10,110000.00,11000.00,16500.00
P00017,C00003,CLI00687,COL,V00046,SUC00019,2018-10-26,19,210000.00,11052.63,25200.00
P00017,C00003,CLI00704,COL,V00039,SUC00012,2016-09-12,33,340000.00,10303.03,27200.00
P00017,C00003,CLI00704,COL,V00039,SUC00012,2020-09-12,33,340000.00,10303.03,27200.00
P00017,C00003,CLI00468,CHI,V00030,SUC00051,2017-07-14,20,220000.00,11000.00,13200.00
P00017,C00003,CLI00468,CHI,V00030,SUC00051,2020-07-14,20,220000.00,11000.00,13200.00
P00017,C00003,CLI00468,PAR,V00043,SUC00009,2019-02-02,23,620000.00,26956.52,37200.00
