superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
1993;Buenos Aires; -   ; -   ; -   ; -   ; -   ; -   
1993;Catamarca; -   ; -   ; -   ; -   ; -   ; -   
1993;Chaco; -   ; -   ; -   ; -   ; -   ; -   
1993;Chubut;149,5;10;6,25; -   ;133,25; -   
1993;Córdoba;232.941,00;59.995,00;250; -   ;172.696,00; -   
1993;Corrientes;1.727,00; -   ;918; -   ;809; -   
1993;Entre Ríos;75;75; -   ; -   ; -   ; -   
1993;Formosa;31; -   ;26; -   ;5; -   
1993;Jujuy; -   ; -   ; -   ; -   ; -   ; -   
1993;La Pampa;1.207.510,00;1.207.510,00; -   ; -   ; -   ; -   
1993;La Rioja; -   ; -   ; -   ; -   ; -   ; -   
1993;Mendoza; -   ; -   ; -   ; -   ; -   ; -   
1993;Misiones; -   ; -   ; -   ; -   ; -   ; -   
1993;Neuquén;340,85;282,31;6; -   ;52,54; -   
1993;Río Negro;111;108; -   ; -   ;3; -   
1993;Salta; -   ; -   ; -   ; -   ; -   ; -   
1993;San Juan; -   ; -   ; -   ; -   ; -   ; -   
1993;San Luis;330.147,00; -   ; -   ; -   ;330.147,00; -   
1993;Santa Cruz;6.351,00;727; -   ; -   ;5.624,00; -   
1993;Santa Fe; -   ; -   ; -   ; -   ; -   ; -   
1993;Santiago del Estero;13.000,00;9.100,00; -   ; -   ;3.900,00; -   
1993;Tierra del Fuego;28,05;28,05; -   ; -   ; -   ; -   
1993;Tucumán;4.412,00;3.703,00;4; -   ;705; -   
1994;Buenos Aires; -   ; -   ; -   ; -   ; -   ; -   
1994;Catamarca; -   ; -   ; -   ; -   ; -   ; -   
1994;Chaco; -   ; -   ; -   ; -   ; -   ; -   
1994;Chubut;3.296,75;2.157,75;39; -   ;1.100,00; -   
1994;Córdoba;240.196,00;187.812,00;100; -   ;52.284,00; -   
1994;Corrientes;140; -   ;72; -   ;68; -   
1994;Entre Ríos;91;91; -   ; -   ; -   ; -   
1994;Formosa;9; -   ; -   ; -   ;9; -   
1994;Jujuy; -   ; -   ; -   ; -   ; -   ; -   
1994;La Pampa;621.840,00;167.890,00; -   ; -   ; -   ;453.950,00
1994;La Rioja;47.150,00;10.600,00; -   ; -   ;36.550,00; -   
1994;Mendoza; -   ; -   ; -   ; -   ; -   ; -   
1994;Misiones; -   ; -   ; -   ; -   ; -   ; -   
